GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-gateway,com.donaton.gateway.controller,GatewayController,78,0,4,0,13,0,7,0,5,0
api-gateway,com.donaton.gateway,ApiGatewayApplication,5,3,0,0,2,1,1,1,1,1
api-gateway,com.donaton.gateway.config,CorsConfig,46,3,0,0,5,1,1,1,1,1
api-gateway,com.donaton.gateway.config,RestClientConfig,0,6,0,0,0,2,0,2,0,2
api-gateway,com.donaton.gateway.service,ProxyService,169,0,26,0,49,0,18,0,5,0
